concello,wikidata,concelloNombre,qid,label,coord,lat,lon,imagen,web
http://example.org/resource/concello/32055,http://www.wikidata.org/entity/Q1445723,32055,Q1445723,Paderne de Allariz,Point(-7.745833333 42.2775),42.2775,-7.745833333,http://commons.wikimedia.org/wiki/Special:FilePath/Paderne%20en%20Ourense%20Galicia.jpg,
http://example.org/resource/concello/32056,http://www.wikidata.org/entity/Q1607736,32056,Q1607736,Padrenda,Point(-8.1582888 42.1394277),42.1394277,-8.1582888,http://commons.wikimedia.org/wiki/Special:FilePath/Concello%20de%20Padrenda.JPG,http://www.concellodepadrenda.com/
http://example.org/resource/concello/32057,http://www.wikidata.org/entity/Q1632841,32057,Q1632841,Parada del Sil,Point(-7.568888888 42.383055555),42.383055555,-7.568888888,http://commons.wikimedia.org/wiki/Special:FilePath/Concello%20de%20Parada%20do%20Sil.JPG,
http://example.org/resource/concello/32058,http://www.wikidata.org/entity/Q1603774,32058,Q1603774,Pereiro de Aguiar,Point(-7.8002637 42.3463433),42.3463433,-7.8002637,http://commons.wikimedia.org/wiki/Special:FilePath/Vista%20O%20Pereiro%20de%20Aguiar%2C%20Ourense.JPG,https://pereiro.gal/
http://example.org/resource/concello/32059,http://www.wikidata.org/entity/Q1603795,32059,Q1603795,La Peroja,Point(-7.793333333 42.438888888),42.438888888,-7.793333333,http://commons.wikimedia.org/wiki/Special:FilePath/OspearesCapela2.jpg,http://www.aperoxa.es
http://example.org/resource/concello/32060,http://www.wikidata.org/entity/Q670366,32060,Q670366,Petín,Point(-7.125833333 42.382222222),42.382222222,-7.125833333,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20concello%20Pet%C3%ADn.jpg,
http://example.org/resource/concello/32061,http://www.wikidata.org/entity/Q934212,32061,Q934212,Piñor,Point(-8.005 42.497777777),42.497777777,-8.005,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20do%20concello%20de%20Pi%C3%B1or.JPG,http://www.pinor.es/index.php/gl/
http://example.org/resource/concello/32062,http://www.wikidata.org/entity/Q1631352,32062,Q1631352,Porquera,Point(-7.844444444 42.017777777),42.017777777,-7.844444444,http://commons.wikimedia.org/wiki/Special:FilePath/Torre%20da%20Forxa.JPG,
http://example.org/resource/concello/32063,http://www.wikidata.org/entity/Q1453218,32063,Q1453218,Puebla de Trives,Point(-7.253055555 42.339444444),42.339444444,-7.253055555,http://commons.wikimedia.org/wiki/Special:FilePath/A%20Pobra%20de%20Trives%2C%20Casa%20do%20Concello.JPG,
http://example.org/resource/concello/32064,http://www.wikidata.org/entity/Q1628449,32064,Q1628449,Puentedeva,Point(-8.139166666 42.168611111),42.168611111,-8.139166666,http://commons.wikimedia.org/wiki/Special:FilePath/Concello%20de%20Pontedeva.JPG,
http://example.org/resource/concello/32067,http://www.wikidata.org/entity/Q542228,32067,Q542228,Rairiz de Veiga,Point(-7.832222222 42.083055555),42.083055555,-7.832222222,http://commons.wikimedia.org/wiki/Special:FilePath/Concello%20de%20Rairiz%20de%20Veiga.JPG,https://rairizdeveiga.es/
http://example.org/resource/concello/32068,http://www.wikidata.org/entity/Q605058,32068,Q605058,Ramiranes,Point(-8.025277777 42.185277777),42.185277777,-8.025277777,http://commons.wikimedia.org/wiki/Special:FilePath/Iglesia%20de%20San%20Pedro%20de%20Ramir%C3%A1s%20%282%29.jpg,http://www.concelloderamiras.gal/
http://example.org/resource/concello/32069,http://www.wikidata.org/entity/Q917180,32069,Q917180,Ribadavia,Point(-8.14313 42.28821),42.28821,-8.14313,http://commons.wikimedia.org/wiki/Special:FilePath/Ribadavia%20060115%2055%20copy.jpg,
http://example.org/resource/concello/32071,http://www.wikidata.org/entity/Q1645023,32071,Q1645023,Riós,Point(-7.2825 41.974166666),41.974166666,-7.2825,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20concello%20Ri%C3%B3s.JPG,https://concelloderios.info/es/
http://example.org/resource/concello/32072,http://www.wikidata.org/entity/Q1607619,32072,Q1607619,Rúa,Point(-7.114141666 42.395088888),42.395088888,-7.114141666,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20do%20concello%20da%20R%C3%BAa%2C%20provincia%20de%20Ourense.jpg,http://www.arua.es/
