PROVINCIA,CODIGO_PROVINCIA,CONCELLO,CODIGO_CONCELLO,PRAIA,LUGAR_E_PARROQUIA,LONXITUDE,TIPO,TIPO_DE_AREA,COORDENADAS,Coordenada_X,Coordenada_Y,MAIS_INFORMACION_EN_TURGALICIA
Pontevedra Province,36,A Guarda,36023,Area Grande,A Guarda - A Guarda (Santa María),300,Praia resgardada,Fina,41.91025/-8.876166,41.91025,-8.876166,http://www.turismo.gal/ficha-recurso?cod_rec=10526  
Pontevedra Province,36,A Guarda,36023,O Muíño,O Muíño - Camposancos (Santa Isabel),2000,Praia aberta,Fina,41.876444/-8.862944,41.876444,-8.862944,http://www.turismo.gal/ficha-recurso?cod_rec=10529  
Pontevedra Province,36,A Illa de Arousa,36901,Area da Secada,,500,Praia resgardada,Fina,42.567972/-8.887111,42.567972,-8.887111,http://www.turismo.gal/ficha-recurso?cod_rec=10092  
Pontevedra Province,36,A Illa de Arousa,36901,Camaxe, ,,Praia resgardada,Grosa,42.544389/-8.867499,42.544389,-8.867499,http://www.turismo.gal/ficha-recurso?cod_rec=258852417  
Pontevedra Province,36,Marín,36026,Aguete Beach,Aguete - Seixo (Nosa Señora do Carme),920,Praia resgardada,Fina,42.37386/-8.731472,42.37386,-8.731472,http://www.turismo.gal/ficha-recurso?cod_rec=10140  
Pontevedra Province,36,Marín,36026,Mogor,O Monte - Mogor (San Xurxo),400,Praia resgardada,Fina,42.385972/-8.719416,42.385972,-8.719416,http://www.turismo.gal/ficha-recurso?cod_rec=10139  
Pontevedra Province,36,Marín,36026,Portocelo Beach,O Monte - Mogor (San Xurxo),225,Praia resgardada,Fina,42.390027/-8.71425,42.390027,-8.71425,http://www.turismo.gal/ficha-recurso?cod_rec=10138  
Pontevedra Province,36,Marín,36026,A Coviña,Casás - Ardán (Santa María),350,Praia resgardada,Fina,42.348889/-8.751444,42.348889,-8.751444,http://www.turismo.gal/ficha-recurso?cod_rec=10454
Pontevedra Province,36,Moaña,36029,O Con,O Con - Tirán (San Xoán),150,Praia aberta,Fina,42.271083/-8.740527,42.271083,-8.740527,http://www.turismo.gal/ficha-recurso?cod_rec=10143
Pontevedra Province,36,Poio,36041,Cabeceira Beach,Campelo - Poio (San Xoán),200,Praia resgardada,Fina,42.422453/-8.6823,42.422453,-8.6823,http://www.turismo.gal/ficha-recurso?cod_rec=9796  
Pontevedra Province,36,Poio,36992,Xiorto,Poio,300,Praia resgardada,Fina,42.422453/-8.6823,42.422453,-8.6823,https://www.turismo.gal/recurso/-/detalle/9784/xiorto
Pontevedra Province,36,Ponte Caldelas,36043,Ponte Caldelas,Paseo de Manuel Gordo Boullosa - Ponte Caldelas (Santa Eulalia), ,,,42.39131/-8.491745,42.39131,-8.491745,http://www.turismo.gal/recurso?cod_rec=210518000500
Pontevedra Province,36,Sanxenxo,36051,Beach of A Lanzada,O Grove - Sanxenxo,2300,Praia aberta,Fina,42.441258/-8.872075,42.441258,-8.872075,http://www.turismo.gal/ficha-recurso?cod_rec=9739  
